NumNotice	FRBNF	ARK	ISNI	Nom	Prénom	Date de début	Date de fin
26376598	frbn000015543;frbnf118636081	http://catalogue.bnf.fr/ark:/12148/cb118636082					
26378329	frbn000017028;frbnf11863754x	http://catalogue.bnf.fr/ark:/12148/cb11863754h					
26399164	frbn000033751;frbn001890359;frbnf138897338	http://catalogue.bnf.fr/ark:/12148/cb13889733p					
26402173	frbn001929837;frbn000036110;frbnf118656372						
26443384	frbn000070582;frbnf118690008;frbnf138899741						
02657330X	frbn008164215;frbnf12248549x;frbn000289747;frbnf118794633						
26685809				Andersen		1805	1875
26688190				Antoine		1944	    
26697866				Averty		1928	2017
26700522				Baez		1941	    
26701553		http://catalogue.bnf.fr/ark:/12148/cb11889929q		Baker		1906	1975
26703424		http://catalogue.bnf.fr/ark:/12148/cb11890070q		Banier		1947	    
26711761		http://catalogue.bnf.fr/ark:/12148/cb118907501		Béart		1930	2015
26714329		http://catalogue.bnf.fr/ark:/12148/cb138912954		Beethoven		1770	1827
26721074		http://catalogue.bnf.fr/ark:/12148/cb13891404j		Berio		1925	2003
26733501	frbn000492815;frbnf118924233			Long Chris		1942	    
26748363	frbn002003080;frbn000525140;frbnf118936602			Bowie		1947	2016
26765152	frbn000561485;frbn01028628x;frbnf118950210			Canetti		1909	1997
02677447X	frbn000579106;frbn010470991;frbnf118957500	http://catalogue.bnf.fr/ark:/12148/cb118957507		Cerami		1940	2013
26778432	frbn001577777;frbn000587569;frbnf118960681	http://catalogue.bnf.fr/ark:/12148/cb11896068m		Chaplin		1889	1977
26786990	frbn014094127;frbnf118966990;frbnf133315773;frbn000603094;frbnf139396262	http://catalogue.bnf.fr/ark:/12148/cb139396268		Chion		1947	    
26797747		http://catalogue.bnf.fr/ark:/12148/cb11897555w		Constantine		1917	1993
26816105		http://catalogue.bnf.fr/ark:/12148/cb13893072d		Debussy		1862	1918
26829762		http://catalogue.bnf.fr/ark:/12148/cb11900005k		Devos		1922	2006
26842548				Duleu		1909	    
26859041	frbn00161413x;frbn000752960;frbnf119023327			Faulkner		1897	1962
26861488	frbn003068679;frbn000757605;frbnf119025260			Fenoglio		1922	1963
26862875	frbn001563838;frbn000759976;frbnf119026266	http://catalogue.bnf.fr/ark:/12148/cb11902626p		Ferré		1916	1993
26866552	frbn002481504;frbn000767065;frbnf119028947	http://catalogue.bnf.fr/ark:/12148/cb11902894q		Flaubert			
