Titre du document dans sa langue originale	Sous-titre	Titre dans une autre langue	Traduction du titre en français	Auteur 1, transcrit littéralement	Auteur 2, transcrit littéralement	Auteur 3, transcrit littéralement	Code pays	Langue 1	Langue 2	Langue 3	Auteur 1 - Lien vers notice autorité BnF	Auteur 1 - Nom	Auteur 1 - Prénom	Auteur 1 - Code fonction	Auteur 1 - Nature	Auteur 2 - Lien vers notice autorité BnF	Auteur 2 - Nom	Auteur 2 - Prénom	Auteur 2 - Code fonction	Auteur 2 - Nature	Auteur 3 - Lien vers notice autorité BnF	Auteur 3 - Nom	Auteur 3 - Prénom	Auteur 3 - Code fonction	Auteur 3 - Nature	Mention d'édition	Lieu de publication	Nom de l'éditeur transcrit	Date de publication	Date sous forme normalisée	Lieu d'impression	Imprimeur	Date d'impression 	Importance matérielle	Nombre de pages	Illustrations	Hauteur (en cm)	Notes bibliographiques	Indexation 1 - Lien vers la notice BnF	Indexation 1 - Suggestion mot-matière	Indexation 1 - Nature	Indexation 2 - Lien vers la notice BnF	Indexation 2 - Suggestion mot-matière	Indexation 2 - Nature	Indexation 3 - Lien vers la notice BnF	Indexation 3 - Suggestion mot-matière	Indexation 3 - Nature	Indexation genre/forme - Lien vers la notice BnF	Code projet 1	Code projet 2	Code projet 3	Exemplaire - Etablissement de provenance	Exemplaire - Nom du fonds	Exemplaire - Cote du document original	Exemplaire - Lien vers la notice du partenaire	Exemplaire - Particularités de l'exemplaire	Exemplaire microformé	Cote de la microforme
Pour être bon joueur de rugby 				B. Leroux			fr	fre				Leroux	B.	70	personne											1e éd.	Paris	Editions Nilsson		192.	Montrouge	Imprimerie F. Schmidt 		1 vol.	59 p.	ill.		Ouvrage issu de la Nouvelle collection sportive	11932713		sujet	11937802		sujet	13162711		sujet		MnS000			Musée national du sport		182100_10				
Pour être bon tireur : fusil, carabine, pistolet, révolver				P. Lelong			fr	fre				Lelong	P.	70	personne											1e éd.	Paris	Editions Nilsson		192.	Montrouge	Imprimerie F. Schmidt 		1 vol.	61 p.	ill.		Ouvrage issu de la Nouvelle collection sportive	11941300		sujet		tireurs	personne	11930955		sujet		MnS000			Musée national du sport		182100_11				
Comment on fait de l'aviron				P. Morot			fr	fre			10192173			70	personne											1e éd.	Paris	Editions Nilsson		192.	Montrouge	Imprimerie F. Schmidt 		1 vol.	61 p.	ill.		Ouvrage issu de la Nouvelle collection sportive	11965046		sujet	12647960		sujet	15056030		sujet		MnS000			Musée national du sport		182100_12				
Comment on fait de l'escrime, du bâton, de la canne				M. Crozier			fr	fre				Crozier	M.	70	personne											1e éd.	Paris	Editions Nilsson		192.	Montrouge	Imprimerie F. Schmidt 		1 vol.	62 p.	ill.		Ouvrage issu de la Nouvelle collection sportive	11930995		sujet	11931273		sujet	13318409		sujet		MnS000			Musée national du sport		182100_13				
Comment s'entraîner au football (rugby-association), à la course à pied, à l'athlétisme				L. Meyer			fr	fre				Meyer	L.	70	personne											1e éd.	Paris	Editions Nilsson		192.	Montrouge	Imprimerie F. Schmidt 		1 vol.	61 p.			Ouvrage issu de la Nouvelle collection sportive	11931428		sujet	12098289		sujet	11931649		sujet		MnS000			Musée national du sport		182100_14				
Pour être bon cycliste				L. Nageon			fr	fre			10204277			70	personne											1e éd.	Paris	Editions Nilsson		192.	Montrouge	Imprimerie F. Schmidt 		1 vol.	61 p.	ill.		Ouvrage issu de la Nouvelle collection sportive	11931834		sujet	12648471		sujet		vélocipède	sujet		MnS000			Musée national du sport		182100_15				
Comment lutter au catch as catch can				Jean Roland			fr	fre				Roland	Jean	70	personne											1e éd.	Paris	Editions Nilsson		192.	Montrouge	Imprimerie F. Schmidt 		1 vol.	61 p.	ill.		Ouvrage issu de la Nouvelle collection sportive	11930995		sujet	12461415		sujet	12099171		sujet		MnS000			Musée national du sport		182100_16				
Comment s'entraîner à la boxe, à la natation, au cyclisme etc. etc.				L. Meyer			fr	fre				Meyer	L. 	70	personne											1e éd.	Paris	Editions Nilsson		192.	Montrouge	Imprimerie F. Schmidt 		1 vol.	61 p.			Ouvrage issu de la Nouvelle collection sportive	11931075		sujet	12647518		sujet	11931834		sujet		MnS000			Musée national du sport		182100_17				
Ma beauté ma santé	Assouplissement ; Gymnastique respiratoire						fr	fre																		1e éd.	Paris	Domange	1921		Fontenay-aux-Roses	Imp. L. Bellenand 		1 vol.	126 p.	ill.			13162671		sujet	13162712		sujet	11979077		sujet 		MnS000			Musée national du sport		105532				
La culture physique amusante				Docteur C. Pagès			fr	fre			10941128			70	personne											1e éd.	Paris	Editions Nilsson		192.	Paris	Imprimerie E. Durand		1 vol.	95 p.	ill.			13162711		sujet	11944168		sujet	13162712		sujet 		MnS000			Musée national du sport		88226				
Pour bien se porter				Fémina-Bibliothèque			fr	fre				Fémina-Bibliothèque		70	collectivité											1e éd.	Paris	Pierre Laffitte	1911		Evreux	Imprimerie Ch. Hérissey		1 vol.	318 p.	ill.		Ouvrage issu des collections Fémina-Bibliothèque	11944168		sujet	11983292		sujet					MnS000			Musée national du sport		70398				
La culture physique & les sports féminins	Guide indispensable pour le développement de la jeune fille			Paul Boucher			fr	fre			12739249			70	personne											1e éd.	Amiens	Roger Léveillard		192.				1 vol.	40 p.	ill.		Ouvrage issu des collections Olympic	11964941		sujet	13516286		sujet	13162711		sujet		MnS000			Musée national du sport		105090				
La pratique et les plaisirs du rowing et du cannotage 	Manuel complet à l'usage des équipiers et des promeneurs et pour les candidats au brevet militaire d'aviron			R. de Hond	Paul Boucher		fr	fre				De Hond		70	personne	https://catalogue.bnf.fr/ark:/12148/cb12739249b			70	personne						1e éd.	Amiens	Roger Léveillard		192.				1 vol.	48 p.	ill.		Ouvrage issu des collections Olympic	11965046		sujet	12647960		sujet					MnS000			Musée national du sport		69612				
Le Jiu-Jitsu illustré par la photographie 	les meilleurs coups pour se défendre mis à la portée de tous			Hurotami, de Tokio	P. Gaffet		fr	fre				Hurotami		70	personne		Gaffet	P.	70	personne						1e éd.	Amiens	Roger Léveillard		192.	Le Raincy	Imp. De la Sté Fse de publications périodiques et de publicité 		1 vol.	18 p.	ill.		Ouvrage issu des collections Olympic	11968006		sujet	11930995		sujet	13162711		sujet		MnS000			Musée national du sport		69558				
Le cyclisme sur piste	Traité indispensable aux débutants et amateurs			P. Boucher	Docteur Corbin		fr	fre			12739249			70	personne		Corbin	R.	70	personne						1e éd.	Amiens	Roger Léveillard		192.	Tourcoing	J. Duvivier		1 vol.	69 p.	ill.		Ouvrage issu des collections Olympic	12232098		sujet	14977604		personne	12647478		sujet		MnS000			Musée national du sport		69578				
Les jeux et sports de plage	indispensable pour tous ceux qui passent leurs vacances à la mer : enfants, jeunes gens, adultes			Paul Boucher			fr	fre			12739249			70	personne											1e éd.	Amiens	Roger Léveillard		192.	Montrouge	Imprimerie F. Schmidt 		1 vol.	58 p.	ill.		Ouvrage issu des collections Olympic	13162712		sujet	13318506		sujet	11931981		sujet		MnS000			Musée national du sport		69552				
